"id","uniquename","shorttext","defaulttext","longtext","k_language_id","hiskey_id","sortorder","obj_guid","lock_version"
1,"AZ","alt.Zuord","alternative Zuordnung","alternative Zuordnung",12,1,1,"2aa9a906-74c9-4608-b658-70db9a594880","1"
2,"PZ","add.Zuord","additive Zuordnung","additive Zuordnung",12,2,3,"e963b4d0-6ade-4d98-bbd1-6fd4f3100907","3"
3,"STD","STD","Standardzuordnung","Standardzuordnung",12,3,99,"39e2cbc4-4c4a-455a-8409-bba7d0bde4f4","1"
4,"FZ","FZ","fakultative Zuordnung","fakultative Zuordnung",12,4,4,"93b5c301-58a8-4d35-8587-74d0a68c0149","3"
5,"SZ","SZ","Serienzuordnung","aufeinanderfolgende Veranstaltungen",12,5,7,"93b5c301-c8a8-4d35-8587-74d0a68c0149","1"
6,"KA","KA","Katalogzuordnung","Katalogzuordnung",12,6,5,"5199e115-e0f9-42a7-a327-cde5d76f165e","3"
7,"F1","G-Zuord","Gesamtzuordnung","Gesamtzuordnung",12,1,NULL,"015e99e0-ce1c-44af-a6dd-e665a8ae7fd6","0"
8,"PL","PZ","Planungszuordnung","Planungszuordnung",12,7,6,"4f76b49a-19c1-4cd4-986b-bc2604ffd073","2"
9,"FAZ","Fach-/Modulauswahl","Fachauswahl","Fachauswahl",12,1,2,"5235efe0-6a6f-43aa-aebf-0683b1479eed","0"
10,"B2","BOK-Bereich 2","BOK-Bereich 2","BOK-Bereich 2",12,1,16,"dcacc96f-ca64-4e43-9c40-e9f569433155","0"
11,"B1","BOK-Bereich 1","BOK-Bereich 1","BOK-Bereich 1",12,1,15,"eefdccb2-63c0-4aa8-8930-880ca268d626","0"
12,"OP","OP-Zuordnung","OP-Zuordnung","OP-Zuordnung",12,1,8,"52b7fb1d-f90f-47cc-b77b-86924004cac2","0"
13,"B6","B6","BOK Bereich 6 Sprachen","BOK Bereich 6 Sprachen",12,1,NULL,"6ce6b6c6-d0eb-45d4-a854-36a89d62c1fb","0"
15,"IPA","implPrüfAnm","implizite Prüfungsanmeldung","implizite Prüfungsanmeldung",12,8,9,"3400e6e5-5842-402b-a6e3-c9a25331ea4b","0"
16,"ABS","Abschlusszuordnung","Abschlusszuordnung","Abschlusszuordnung",12,9,10,"8eaa2883-8a98-45bf-bd2d-508a78afdd12","0"
17,"SORT","Sortierzuordnung","Sortierzuordnung","Sortierzuordnung",12,10,11,"8fa1ce67-f499-4387-bfba-4494166c8b6b","0"
