"id","uniquename","shorttext","defaulttext","longtext","k_language_id","valid_from","valid_to","sortorder","hiskey_id","obj_guid","lock_version"
100,"T","Testat","Testat","Testat",12,"1900-01-01","2100-12-31",NULL,NULL,"9395aa0a-9540-4688-a5ac-8dc08bc63c00","0"
3,"K","Klausur","Klausur","Klausur",12,"1900-01-01","2100-12-31",3,1,"f6174c7a-4200-479c-baf0-7a27a923f537","0"
103,"KV","KA mit VL","Klausur mit Vorleistung","Klausur mit Vorleistung",12,"1900-01-01","2100-12-31",NULL,NULL,"3ba0c5ce-b873-495b-aa64-8f7f2f828f0a","0"
105,"O","S  oder  M","Schriftlich oder Mündlich","Schriftliche oder mündliche Prüfung",12,"1900-01-01","2100-12-31",NULL,NULL,"251ffdbc-f30d-414b-a2da-f7fc19cd3b3d","0"
2,"M","mündlich","mündlich","Mündliche Prüfung",12,"1900-01-01","2100-12-31",2,NULL,"069368ce-ff05-4866-8b55-274a5a5ea6dc","0"
106,"U","schr + mdl","Kombi:schriftl.+ mündlich","Kombi: schriftlich und mündlich",12,"1900-01-01","2100-12-31",NULL,NULL,"a53cf79b-2d65-48ac-bad5-b587088f93a5","0"
107,"A","alt. Prüf.","alternative Prüfungsleist","alternative Prüfungsleistungen",12,"1900-01-01","2100-12-31",NULL,NULL,"b31f01e6-f801-4c08-8572-595a8c491430","0"
118,"5","Seminar","Seminar","Seminar",12,"1900-01-01","2100-12-31",NULL,NULL,"7f0f495f-e83e-4280-8c74-0928b5d69ea7","0"
122,"PR","Praktikum","Praktikum","Praktikum",12,"1900-01-01","2100-12-31",NULL,NULL,"569b03db-05d1-452c-b1a3-9bec57d35752","0"
124,"O","S  oder  M","schriftlich oder mündlich","schriftlich oder mündlich",12,"1900-01-01","2100-12-31",NULL,NULL,"bbe12c90-92da-4e3a-a8e7-55db46e22c74","1"
125,"T","S und M","schriftlich und mündlich","schriftlich und mündlich",12,"1900-01-01","2100-12-31",NULL,NULL,"15b09720-18f5-4176-80e4-df9bd5685246","1"
