"abschl","stg","abtitelhm","abtitelhw"
"  ","   ","Diplom-Mathematiker                                         ","Diplom-Mathematiker                                         "
"  ","039","Master of Science                                           ","Master of Science                                           "
"  ","9F5","Bachelor of Science                                         ","Bachelor of Science                                         "
"  ","ACB","Master of Science                                           ","Master of Science                                           "
"11","012",NULL,NULL
"11","012","Diplom-Archäologe                                           ","Diplom-Archäologin                                          "
"11","012","Diplom-Industriearchäologe                                  ","Diplom-Industriearchäologin                                 "
"11","020",NULL,NULL
"11","020","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","021",NULL,NULL
"11","021","Diplom-Kaufmann                                             ","Diplom-Kauffrau                                             "
"11","030","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","032","Diplom-Chemiker                                             ","Diplom-Chemikerin                                           "
"11","032","Diplom-Chemiker                                             ","Diplom-Chemiker                                             "
"11","032",NULL,NULL
"11","049","Diplom-Naturwissenschaftler                                 ","Diplom-Naturwissenschaftlerin                               "
"11","049",NULL,NULL
"11","065","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","065",NULL,NULL
"11","065","Diplom-Geologe                                              ","Diplom-Geologin                                             "
"11","065","Diplom-Geologe                                              ","Diplom-Geologe                                              "
"11","066",NULL,NULL
"11","066","Diplom-Geophysiker                                          ","Diplom-Geophysikerin                                        "
"11","072",NULL,NULL
"11","103",NULL,NULL
"11","103","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","104","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","104",NULL,NULL
"11","105","Diplom-Mathematiker                                         ","Diplom-Mathematiker                                         "
"11","105",NULL,NULL
"11","111",NULL,NULL
"11","111","Diplom-Ingenieur                                            ","Diplom-Ingenieur                                            "
"11","111","Diplom-Mineraloge                                           ","Diplom-Mineralogin                                          "
"11","123","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","123",NULL,NULL
"11","157",NULL,NULL
"11","177",NULL,NULL
"11","177","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","179",NULL,NULL
"11","179","Diplom-Wirtschaftsingenieur                                 ","Diplom-Wirtschaftsingenieurin                               "
"11","184","Diplom-Wirtschaftsingenieur                                 ","Diplom-Wirtschaftsingenieurin                               "
"11","184",NULL,NULL
"11","211",NULL,NULL
"11","216",NULL,NULL
"11","216","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","226",NULL,NULL
"11","226","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","235","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","235",NULL,NULL
"11","283",NULL,NULL
"11","283","Diplom-Geoökologe                                           ","Diplom-Geoökologin                                          "
"11","370","Diplom-Wirtschaftsingenieur                                 ","Diplom-Wirtschaftsingenieurin                               "
"11","457","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","457",NULL,NULL
"11","601",NULL,NULL
"11","601","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","603",NULL,NULL
"11","701","Diplom-Wirtschaftsjurist                                    ","Diplom-Wirtschaftsjuristin                                  "
"11","840",NULL,NULL
"11","840","Diplom-Geoinformatiker                                      ","Diplom-Geoinformatikerin                                    "
"11","868","Industriearchäologe                                         ","Industriearchäologin                                        "
"11","AFD","Diplom-Kaufmann                                             ","Diplom-Kauffrau                                             "
"11","B27","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","B4C","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","B95","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","B99","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","C12","Bachelor of Science                                         ","Bachelor of Science                                         "
"11","C29","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
