"abschl","stg","vert","abtitelhm","abtitelhw"
"  ","   ","   ","Diplom-Mathematiker                                         ","Diplom-Mathematiker                                         "
"  ","039","   ","Master of Science                                           ","Master of Science                                           "
"  ","9F5","   ","Bachelor of Science                                         ","Bachelor of Science                                         "
"  ","ACB","   ","Master of Science                                           ","Master of Science                                           "
"11","012","ArM",NULL,NULL
"11","012","InA","Diplom-Industriearchäologe                                  ","Diplom-Industriearchäologin                                 "
"11","012","ArM","Diplom-Archäologe                                           ","Diplom-Archäologin                                          "
"11","012","   ",NULL,NULL
"11","012","InA",NULL,NULL
"11","020","Gt ","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","020","STb",NULL,NULL
"11","020","   ","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","020","BF ",NULL,NULL
"11","020","TBT","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","020","TE ","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","020","Gt ",NULL,NULL
"11","020","BF ","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","020","   ",NULL,NULL
"11","020","STb","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","020","Bb ",NULL,NULL
"11","020","Bs ",NULL,NULL
"11","020","Bb ","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","020","UWT",NULL,NULL
"11","021","   ",NULL,NULL
"11","021","   ","Diplom-Kaufmann                                             ","Diplom-Kauffrau                                             "
"11","030","   ","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","032","   ","Diplom-Chemiker                                             ","Diplom-Chemiker                                             "
"11","032","   ",NULL,NULL
"11","032","   ","Diplom-Chemiker                                             ","Diplom-Chemikerin                                           "
"11","049","   ","Diplom-Naturwissenschaftler                                 ","Diplom-Naturwissenschaftlerin                               "
"11","049","   ",NULL,NULL
"11","065","HyU",NULL,NULL
"11","065","   ","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","065","GPa",NULL,NULL
"11","065","   ","Diplom-Geologe                                              ","Diplom-Geologe                                              "
"11","065","   ","Diplom-Geologe                                              ","Diplom-Geologin                                             "
"11","065","   ",NULL,NULL
"11","066","   ",NULL,NULL
"11","066","   ","Diplom-Geophysiker                                          ","Diplom-Geophysikerin                                        "
"11","072","   ",NULL,NULL
"11","103","   ",NULL,NULL
"11","103","   ","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","104","UMA",NULL,NULL
"11","104","EnT",NULL,NULL
"11","104","Mt ",NULL,NULL
"11","104","KET",NULL,NULL
"11","104","MAS","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","104","IAM",NULL,NULL
"11","104","GT ",NULL,NULL
"11","104","   ",NULL,NULL
"11","104","ANL","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","104","   ","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","104","MET","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","105","   ",NULL,NULL
"11","105","   ","Diplom-Mathematiker                                         ","Diplom-Mathematiker                                         "
"11","111","   ",NULL,NULL
"11","111","   ","Diplom-Mineraloge                                           ","Diplom-Mineralogin                                          "
"11","111","   ","Diplom-Ingenieur                                            ","Diplom-Ingenieur                                            "
"11","123","WEG",NULL,NULL
"11","123","Man",NULL,NULL
"11","123","PCG",NULL,NULL
"11","123","AM ",NULL,NULL
"11","123","Man","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","123","Geg","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","123","   ",NULL,NULL
"11","123","AM ","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
"11","123","PCG","Diplom-Ingenieur                                            ","Diplom-Ingenieurin                                          "
