"id","uniquename","shorttext","defaulttext","longtext","k_language_id","valid_from","valid_to","sortorder","hiskey_id","obj_guid","lock_version"
1,"S","Schriftlich","Schriftlich","Schriftlich",12,"1900-01-01","2100-12-31",1,NULL,"094574f6-4661-4ff1-a087-305bb112c87b","0"
2,"M","Mündlich","Mündlich","Mündlich",12,"1900-01-01","2100-12-31",2,NULL,"069368ce-ff05-4866-8b55-274a5a5ea6dc","2"
3,"K","Klausur","Klausur, schriftlich","Klausur, schriftlich",12,"1900-01-01","2100-12-31",3,1,"f6174c7a-4200-479c-baf0-7a27a923f537","2"
5,"AU","schriftl. Ausarb.","schriftliche Ausarbeitung","schriftliche Ausarbeitung",12,"1900-01-01","2100-12-31",4,NULL,"d9df69c0-0795-4c65-9cc5-8ef5b428b418","0"
6,"KO","Kolloquium","Kolloquium","Kolloquium",12,"1900-01-01","2100-12-31",5,NULL,"1b4fcd50-f48a-4766-879e-53a02ed2fb86","0"
99,"UDEF","undefiniert","undefiniert","undefiniert (von Migration)",12,"1900-01-01","1900-01-01",99,99,"558cbd35-70e7-430f-bea3-6f71d5aeb5ad","3"
100,"2","Klausur","Klausur","Klausur",12,"1900-01-01","2100-12-31",NULL,NULL,"e351250f-ed3c-489a-b58b-84e661038734","3"
101,"8","sonst. PL","sonstige Prüfungsleistung","sonstige Prüfungsleistung",12,"1900-01-01","2100-12-31",NULL,NULL,"133ef207-3d4c-4b72-81e2-1fe6a22c6296","1"
102,"0","nicht bek.","nicht bekannt","nicht bekannt",12,"1900-01-01","2100-12-31",NULL,NULL,"95cbcb86-d13d-4318-90e3-d11fa2099d1f","0"
103,"4","Übung","Übung","Übung",12,"1900-01-01","2100-12-31",NULL,NULL,"4a568cba-badd-4ac0-95ab-9425dba2468d","0"
104,"5","Seminar","Seminar","Seminar",12,"1900-01-01","2100-12-31",NULL,NULL,"7f0f495f-e83e-4280-8c74-0928b5d69ea7","0"
105,"KE","keine","keine","keine",12,"1900-01-01","2100-12-31",NULL,NULL,"dd4f10e3-91d1-4cc3-8887-4b892b168795","1"
106,"TH","Thesis","Thesis","Thesis",12,"1900-01-01","2100-12-31",NULL,NULL,"b1c6f290-3397-4933-a48b-618669136eb0","0"
107,"3","Labor","Labor","Labor",12,"1900-01-01","2100-12-31",NULL,NULL,"43e6d318-64c0-476a-8414-3fbd17838192","1"
108,"PR","Praktikum","Praktikum","Praktikum",12,"1900-01-01","2100-12-31",NULL,NULL,"569b03db-05d1-452c-b1a3-9bec57d35752","0"
109,"L","L-Schein","Leistungsschein","Leistungsschein",12,"1900-01-01","2100-12-31",NULL,NULL,"41d98337-2ecc-4593-a818-222dc0ae0195","1"
110,"O","S  oder  M","schriftlich oder mündlich","schriftlich oder mündlich",12,"1900-01-01","2100-12-31",NULL,NULL,"bbe12c90-92da-4e3a-a8e7-55db46e22c74","1"
111,"T","S und M","schriftlich und mündlich","schriftlich und mündlich",12,"1900-01-01","2100-12-31",NULL,NULL,"15b09720-18f5-4176-80e4-df9bd5685246","1"
112,"P","schr + pra","schriftlich und praktisch","schriftlich und praktisch",12,"1900-01-01","2100-12-31",NULL,NULL,"1b2aa0d8-1f56-4343-9f91-01981efb09b5","1"
113,"N","unbekannt","N","N",12,"1900-01-01","2100-12-31",NULL,NULL,"2d926e82-b56e-4f29-9324-4efa86fcb179","1"
114,"R","praktisch","praktisch","praktisch",12,"1900-01-01","2100-12-31",NULL,NULL,"e1bf6331-65bc-4edb-8c07-00e44d68b920","1"
133,"ÜT","Übung/Tutorium","Übung/Tutorium","Übung/Tutorium",12,"2024-01-21","2100-12-31",NULL,NULL,"213c2e34-c765-42c8-a449-8716f7938e34","0"
134,"PRAE","Präsentation","Präsentation","Präsentation",12,"2024-01-21","2100-12-31",NULL,NULL,"2f456abe-dbc6-44bb-9757-c6d38c54cf6f","0"
135,"TU","Tutorium","Tutorium","Tutorium",12,"2024-01-21","2100-12-31",NULL,NULL,"bc94a497-20df-4ee5-8929-5707eccab95d","0"
136,"MO","Monografie","Monografie","Monografie",12,"2023-02-23","2100-12-31",6,100,"5442f8db-b56f-47ab-afd4-47c1c6115500","2"
137,"KD","kum. Diss.","kumulative Dissertation","kumulative Dissertation",12,"2023-02-23","2100-12-31",7,101,"adc95347-7534-4d4e-a374-f70fc12ecbd0","2"
138,"MPP","Mus.prak.-Prä","Musikpraktische Präsentation",NULL,12,"2024-10-25","2100-12-31",NULL,NULL,"1c576c9c-5dab-4bc9-9a93-4138eb940a80","0"
139,"KP","künstl.Prü","künstlerische Präsentat","künstlerische Präsentation",12,"1900-01-01","2100-12-31",NULL,NULL,"24b6ff07-e2c0-4c0b-a065-6e2c22bd977f","0"
