"id","uniquename","shorttext","defaulttext","longtext","k_language_id","sortorder","hiskey_id","obj_guid","lock_version"
1,"AF","Film","Abschlussfilm","Abschlussfilm",12,NULL,NULL,"5ffd556d-444d-40e0-9689-543b48ea57fe","0"
2,"BA","Bachelor-A","Bachelor-Arbeit","Bachelor-Arbeit",12,NULL,99,"64f19b9f-e4ad-4eb6-ba27-bcc419900b74","1"
3,"BP","Bachelor","Bachelor","Bachelor",12,NULL,NULL,"66902988-4c48-4c79-aee0-b323b0cb5c48","1"
4,"FP","Fach-Prfg.","Fachabschl. Prüfung","Fachabschließende Prüfung",12,NULL,NULL,"9437ccc5-0f92-485f-971e-c0521a653b5e","0"
5,"HA","Hausarbeit","Hausarbeit","Hausarbeit",12,NULL,NULL,"3306be9e-f09d-40ce-82bb-728cdf7172db","0"
6,"HD","Hauptdipl.","Hauptdiplom","Hauptdiplom",12,NULL,NULL,"b21445bc-4c39-4c5d-8d10-e0fb9512033b","2"
7,"KL","Klausur","Klausur","Klausur",12,NULL,NULL,"4ab2d427-ccf3-4a0f-aace-4b8a7d5a8054","0"
8,"LV","Veranstalt","Veranstaltung","Veranstaltung",12,NULL,NULL,"8ea2bfa7-1aed-4f58-8ab7-62bcc5446ad5","2"
9,"MA","Master","Master","Master",12,NULL,NULL,"e931553b-c554-45ee-a388-2044e9d7d152","1"
10,"MP","Modulpr.","Modulprüfung","Modulprüfung",12,NULL,NULL,"d115c062-69a6-4b82-8ac6-d3c66244615f","2"
11,"MS","Modulsubt.","Modulsubteil","Modulsubteil",12,NULL,NULL,"86a0443f-ebcb-44f5-bbcc-9c64a5273e87","0"
12,"MT","Modulteil","Modulteilprüfung","Modulteilprüfung",12,NULL,NULL,"8aeb19bd-4f4d-4d93-be52-7f9fb13289ca","0"
13,"P","Präs","Präsentation","Präsentation",12,NULL,NULL,"56100c6e-c437-44a3-8737-b848dd27e11b","2"
14,"PA","ProjRef","Projektarbeit o. Referat","Projektarbeit oder Referat",12,NULL,NULL,"3aed34ac-276e-4075-95a7-ea4f1d9af823","0"
15,"PL","Prüfungs","Prüfungsleistung","Prüfungsleistung",12,NULL,NULL,"7cc78654-cbf7-4fe0-99a7-21e51efb2ee3","1"
16,"PR","Promotion","Promotion","Promotion",12,NULL,NULL,"92205270-eb4b-4bee-ada0-c1fa92f0c6af","0"
17,"PX","Praktikum","Praktikum","Praktikum",12,NULL,NULL,"e5a62337-61af-424c-a844-4ad9daabbb17","0"
18,"SM","s/m","schriftl./mündl.","schriftlich und mündlich",12,NULL,NULL,"07e11068-221e-4e1c-accd-a18539cee649","0"
19,"SP","s/p","schriftl./prakt.","schriftlich und praktisch",12,NULL,NULL,"7bd152f9-5335-4507-97f7-981923afc7ec","2"
20,"VD","Vordipl. U","Vordiplom (Uni.)","Vordiplom (an  Universitaeten)",12,NULL,NULL,"565071ec-d2d3-40fa-9731-e02ccd119ef7","1"
21,"W","Zentrale W","Zentrale Wiederholungskla","Zentrale Wiederholungsklausur",12,NULL,NULL,"eaa0d79f-104c-4fac-9cf5-2430341af479","0"
22,"MR","Masterarbeit","Masterarbeit","Masterarbeit",12,NULL,99,"9515e259-a2bb-46e4-ae75-630f8d197044","1"
23,"OP","OriP","Orientierungsprüfung","Orientierungsprüfung",12,NULL,3,"18e63184-ee49-4171-8396-bc79ee463873","0"
24,"SPP","Schwerpunkt","Schwerpunktprüfung","Schwerpunktprüfung",12,NULL,NULL,"9c8e9668-b02d-4cf4-9e47-adbb57f4218f","0"
25,"PG","Pädagogisch","Pädagogisch","Pädagogisch",12,NULL,NULL,"c516df1c-11c8-41f6-adeb-fe7697ad9627","0"
99,"UDEF","undefiniert","undefiniert","undefiniert (von Migration)",12,99,1,"970de8b0-4b61-4fa2-afba-09630d702bee","1"
100,"PO","Portfolio","Portfolio","Portfolio",12,NULL,NULL,"eeb317ce-bbfd-4d7c-91da-87f7da599096","0"
101,"KO","KO","Kolloquium","Kolloquium",12,NULL,NULL,"5c516c2d-479f-442f-a34b-40b33a463d55","0"
102,"S","Studienlei","Studienleistung","Studienleistung",12,NULL,NULL,"0c20ede7-65f1-4b19-8d39-e81ab42309b5","2"
103,"V","Vorleist.","Prüfungsvorleistung","Prüfungsvorleistung",12,NULL,NULL,"04ac61c0-d0ea-455e-90df-c1928d676397","0"
104,"DA","Dipl.Arb.","Diplomarbeit","Diplomarbeit",12,NULL,99,"1db65365-473a-4cf9-a1da-c3e565fb3200","1"
105,"WF","Wahlfach","Wahlfach","Wahlfach",12,NULL,NULL,"9ec35d55-322a-4ea0-850a-c57a60dfafbb","0"
106,"N","Nachweis","Nachweisleistung","Nachweisleistung",12,NULL,NULL,"5ead1740-99c8-4c9e-b69d-dae464ad2459","0"
107,"AB","Abschluss","Abschluss","Abschluss",12,NULL,NULL,"dc4d77b0-4aed-4015-81c3-0765bd38657b","0"
108,"LN","Leist.Nach","Leistungsnachweis","Leistungsnachweis",12,90,NULL,"d5329bcf-3fc7-466f-9037-46272330eaa7","0"
109,"ST","Stud.Leist","Studienleistung","Studienleistung",12,240,NULL,"1358ad76-b517-472c-9c86-697589a6898a","0"
110,"M","Modul","Modul","Modul",12,120,NULL,"689077a8-6a92-4ea2-92cf-238fd81f6197","0"
