"id","uniquename","shorttext","defaulttext","longtext","grade_distribution_relevant","k_language_id","sortorder","settable_remark","hiskey_id","relevant_for_individual_document","obj_guid","lock_version"
1,"TA","Täuschung","Täuschung","Täuschung",NULL,12,3,0,1,1,"b030a2aa-85f2-4228-8469-1912cdabcd04","1"
2,"BE","Bestanden","Bestanden, unbenotete Prüfung","Bestanden, Prüfung ist unbenotet",NULL,12,1,0,NULL,NULL,"03ff5378-01de-402a-9840-88dbbb5cff84","6"
3,"NB","Nicht Bestanden","Nicht bestanden, unbenotete Prüfung","Nicht Bestanden, Prüfung ist unbenotet",NULL,12,2,0,NULL,NULL,"d49372f3-781c-46bb-8edc-17096e213e3b","8"
4,"ZU","Zugelassen","Zugelassen","Zugelassen",NULL,12,4,0,NULL,NULL,"ca8103b0-bef5-4444-b8ac-991b5397ce9c","1"
5,"NE","Nicht Erschienen","Nicht Erschienen","Nicht Erschienen",NULL,12,6,0,NULL,1,"71522e23-70e9-4af3-b5e3-cbe7c082b2e5","5"
6,"UA","unbegründete Absage","unbegründete Absage","unbegründete Absage",NULL,12,NULL,0,NULL,NULL,"168ec368-dc99-4854-8bb7-578d94fed510","2"
7,"AT","RueAttest","Ruecktritt mit Attest","Ruecktritt mit Attest",NULL,12,1,0,2,NULL,"91b69984-34f7-4e8b-8169-1c094522608e","3"
8,"NEV","nErschVerb","n. Erschienen verbindl.An","Nicht Erschienen trotz verbindlicher Anmeldung",NULL,12,NULL,0,5,NULL,"1bf31870-eb9c-4b0b-b7bf-ece3d1ad0e29","1"
9,"T","Teilname","Teilnahme","Teilnahme",NULL,12,NULL,0,NULL,NULL,"0996347a-721b-4eb8-bb2a-04fb89418479","0"
10,"N","nichtErsch","nicht Erschienen","Nicht Erschienen bei unverbindlicher Anmeldung",NULL,12,NULL,0,NULL,NULL,"774bc37c-c69d-4944-b95d-eae9cb40298a","0"
11,"kA","keine Angabe / nicht belegt","keine Angabe / nicht belegt","keine Angabe / nicht belegt",NULL,12,7,0,NULL,NULL,"6dcf78a4-3243-47ef-a1a2-66ad97533cae","0"
12,"fünf","fünf","fünf","fünf",NULL,12,NULL,0,NULL,NULL,"b7cc2ccf-953d-4763-9ce5-f0e906a6e33c","0"
13,"I1","IEMS Fall 1","IEMS Fall 1","IEMS Fall 1",NULL,12,NULL,0,NULL,NULL,"cdd26e44-a5e3-42fe-adec-77b059865728","1"
14,"I2","IEMS Fall 2","IEMS Fall 2","IEMS Fall 2",NULL,12,NULL,0,NULL,NULL,"d7e0484e-ded3-41f1-a9a7-cd8e7f6df128","1"
15,"BM","Bewerbermigration","Bewerbermigration","Bewerbermigration",NULL,12,NULL,0,4,NULL,"a4c02f8f-db58-4cf8-ba37-53f2ac4f7306","1"
16,"MIG","migrierte E.","enthält migrierte Elemente","enthält migrierte Elemente",NULL,12,NULL,0,NULL,NULL,"8d8d159e-a6e6-46f5-9ce8-0cf109aead75","0"
17,"Ja","Ja","Ja","Ja",NULL,12,NULL,0,15,NULL,"015664b5-b2cc-4b8c-9490-202f054b9a95","0"
18,"Nein","Nein","Nein","Nein",NULL,12,NULL,0,15,NULL,"c3b9b0c4-2af1-4c24-a852-7036805afbfb","0"
19,"+","TE","erfolgreiche Teilnahme / bestanden","erfolgreiche Teilnahme / bestanden",NULL,12,20,0,NULL,NULL,"02423adb-360d-4283-8146-854246615a13","0"
20,"-","TNE","nicht erfolgreiche Teilnahme / nicht bestanden","nicht erfolgreiche Teilnahme / nicht bestanden",NULL,12,21,0,NULL,NULL,"2401fd6f-d2ac-47b5-990f-e8d29b2fe0ed","0"
21,"HA","Härtefall","Härtefall","Härtefall",NULL,12,14,0,NULL,NULL,"5010707e-9fdc-491c-8f86-6380b6d8a4aa","0"
22,"NZ","Nicht Zugelassen","Nicht Zugelassen","Nicht Zugelassen",NULL,12,5,0,NULL,NULL,"72f34b1a-79aa-48ae-9e50-0e0973f9b19b","0"
23,"SP","Sperre","Sperre","Sperre",NULL,12,15,0,NULL,NULL,"873cff81-34d8-41bd-b4ec-e706f62d727e","0"
24,"NA","nicht anwesend","nicht anwesend","nicht anwesend",NULL,12,23,0,NULL,NULL,"8e7b0482-c4b6-47dc-8c18-f263e954b74d","0"
25,"FK","falscher Kurs","falscher Kurs","falscher Kurs",NULL,12,24,0,NULL,NULL,"9f0e5dfc-3184-4f92-acc4-9174c2766993","0"
26,"AUS","Auszeichnung","Auszeichnung","Auszeichnung",NULL,12,10,0,NULL,NULL,"d762e645-51aa-4080-a87b-876d3110b82b","0"
27,"WID","Widerspruch","Widerspruch","Widerspruch",NULL,12,16,0,NULL,NULL,"29429f1d-29d4-4f33-9b61-76ffc24b573b","0"
29,"FF","Fristenfünf","Fristenfünf","Fristenfünf",NULL,12,NULL,1,9,NULL,"9d5a7531-6266-499d-b318-bb5c071e4e87","0"
30,"I3","IEMS Fall 3","IEMS Fall 3","IEMS Fall 3",NULL,12,NULL,0,NULL,NULL,"2c5f6062-27ef-42c6-a38b-892fc5800739","0"
