"uniquename","shorttext","defaulttext","longtext","sortorder","hiskey_id","k_language_id","obj_guid","lock_version"
"BE","BE","bestanden","Prüfung bestanden",2,1,12,"a3342890-0eb7-42ca-a0b5-5dbd10251025","10"
"EN","EN","endgültig nicht bestanden","Prüfung endgültig nicht bestanden",4,2,12,"0eafc46a-b3f0-49ae-85e9-d58c7227ebbf","4"
"SO","SO","SO","soll abgelegt werden",NULL,3,12,"d4a580bb-89e7-4f01-9a4a-59a6c872ac9d","0"
"PV","PV","Leistung vorhanden","Abschnitt begonnen",5,4,12,"fabc49ac-75c4-48fe-a730-2685275b5293","11"
"AN","AN","angemeldet","angemeldet",NULL,5,12,"c57abb7b-95fa-436d-a42e-253ee7ffb342","1"
"NB","NB","nicht bestanden","Prüfung nicht bestanden",3,6,12,"bc3d224c-ccfb-4af2-b7b4-377ba1c60b2a","10"
"AB","AB","abgelehnt","abgelehnt",NULL,7,12,"f0b4a1ec-82d7-4510-9e07-8e1634bb1d99","1"
"ZU","ZU","zugelassen","zugelassen",1,8,12,"7d412053-5125-4bfc-9fe2-d6a73c99437d","10"
"VG","VG","vorgemerkt","vorgemerkt",NULL,9,12,"b015fab0-0776-40a1-8ac8-fadc064c9357","1"
"ST","ST","storniert","storniert durch Bearbeiter",NULL,10,12,"b59eb4a4-f5ce-471c-ad08-28cbd862421b","1"
"CA","CA","fällt aus","fällt aus",NULL,11,12,"d582fc95-bc1e-4f69-869d-529b89809f9c","1"
"TU","TU","Terminkonflikt","Terminkonflikt",NULL,12,12,"7ee88431-48b3-45a1-ac64-f111bc2a073a","1"
"AV","AV","AV","abgelehnt Vorbehalt",NULL,13,12,"6b569880-595f-4ce9-b076-87043b880a25","0"
"NP","NP","niedrige Priorität","niedrige Priorität",NULL,14,12,"3878d972-3d54-45d0-a991-3fac5ee395ea","1"
"HP","HP","hohe Priorität","hohe Priorität",NULL,15,12,"baa73c2f-ef41-4759-9566-67f29a4e1aba","1"
"PP","PP","reserviert","reserviert",NULL,16,12,"7ff36c50-43e7-11df-9879-0800200c9a66","1"


"kA","keine Angabe / nicht belegt","keine Angabe / nicht belegt","keine Angabe / nicht belegt",17,1,12,"25e32dd0-655a-4e53-8076-af08ddaaf5aa","1"
"ZUV","unter Vorbehalt zugelassen","unter Vorbehalt zugelassen","unter Vorbehalt zugelassen",20,8,12,"cb486fa3-2727-486f-b287-f938d03cf4e0","2"
"NZU","nicht zugelassen","nicht zugelassen","nicht zugelassen",20,8,12,"74159f4c-429c-431e-84c6-f65f7da5e76d","3"
"RN","RN","Anmeldung zurückgezogen","Anmeldung zurückgezogen",NULL,17,12,"32f12edc-0dfc-4bbb-9f21-d37837be2b7c","0"
"Ja","Ja","Ja","Ja",NULL,1,12,"45544e67-4925-4d7d-9cfa-935853696ebf","2"
"Nein","Nein","Nein","Nein",NULL,6,12,"7ccb0a7d-8c4c-4d6d-8c9f-3cdc5b49fdaf","1"
"TE","TE","Teilnahme erfolgreich","Teilnahme erfolgreich",NULL,1,12,"84d3a2a3-f1aa-498e-be7e-c0c7637f386c","3"
"TNE","TNE","Teilnahme nicht erfolgreich","Teilnahme nicht erfolgreich",NULL,6,12,"d84e6bcb-4380-4127-9d2a-c061010a176d","3"
"V_BE","V_BE","vorläufig bestanden","vorläufig bestanden",7,4,12,"efc75f01-9c7c-4380-8f66-04c6ae0a3eca","2"
"WL","WL","Warteliste","Warteliste",NULL,18,12,"ee6c1bad-9acf-480b-94aa-2135000e2548","0"
