"id","uniquename","shorttext","defaulttext","longtext","grade_distribution_relevant","k_language_id","sortorder","settable_remark","hiskey_id","relevant_for_individual_document","obj_guid","lock_version"
9,"FF","Fristenfünf","Fristenfünf","Fristenfünf",NULL,12,NULL,1,9,NULL,"9d5a7531-6266-499d-b318-bb5c071e4e87","0"
1,"TA","Täuschung","Täuschung","Täuschung",NULL,12,3,0,1,NULL,"b030a2aa-85f2-4228-8469-1912cdabcd04","1"
2,"BE","Bestanden","Bestanden, unbenotete Prüfung","Bestanden, Prüfung ist unbenotet",NULL,12,1,0,NULL,NULL,"03ff5378-01de-402a-9840-88dbbb5cff84","1"
7,"AT","RueAttest","Ruecktritt mit Attest","Ruecktritt mit Attest",NULL,12,1,0,2,NULL,"91b69984-34f7-4e8b-8169-1c094522608e","2"
5,"NE","n. ersch","nicht erschienen","Nicht Erschienen",NULL,12,6,0,NULL,NULL,"71522e23-70e9-4af3-b5e3-cbe7c082b2e5","2"
15,"UBE",NULL,"benot.Prfg.ohne Note best","benotete Prüfung ohne Note bestanden",NULL,12,NULL,0,NULL,NULL,"f8cf524f-541e-4c26-9fb2-61d04ca9c556","0"
17,"FÜ","Fristübers","Fristüberschreitung","Fristüberschreitung",NULL,12,NULL,0,NULL,NULL,"9e155ba2-0db2-428b-ae15-345879220a6c","0"
18,"RT","Reg.Rücktr","Regulärer Rücktritt","Regulärer Rücktritt",NULL,12,NULL,0,NULL,NULL,"033fe570-95a0-48f8-9c79-8c0376d9c21f","0"
20,"ENB","ENB","endgültig nicht bestanden","endgültig nicht bestanden",NULL,12,NULL,0,NULL,NULL,"a5c1af8c-0da1-4d47-846d-94f7109a4488","0"
24,"FVB","Freiv. BE","Freiversuch z. Notenverb.","Freiversuch zur Notenverbesserung",NULL,12,NULL,0,NULL,NULL,"d677a558-702c-4e38-972a-5622b524e25c","0"
25,"FNB","Freivers.","Freiversuch b. Nichtbest.","Freiversuch bei Nichtbestehen",NULL,12,NULL,0,NULL,NULL,"a362c1ef-1454-48f8-b0b2-5a32844bf9ae","0"
26,"FLN","Fehl.LN","fehlender Leist.nachweis","fehlender Leist.nachweis",NULL,12,NULL,0,NULL,NULL,"5073e5d0-501f-4fdf-9850-12712b877643","0"
37,"N","nichtErsch","nicht Erschienen","Nicht Erschienen bei unverbindlicher Anmeldung",NULL,12,NULL,0,NULL,NULL,"774bc37c-c69d-4944-b95d-eae9cb40298a","0"
48,"HA","Härtefall","Härtefall","Härtefall",NULL,12,14,0,NULL,NULL,"5010707e-9fdc-491c-8f86-6380b6d8a4aa","0"
49,"NZ","Nicht Zugelassen","Nicht Zugelassen","Nicht Zugelassen",NULL,12,5,0,NULL,NULL,"72f34b1a-79aa-48ae-9e50-0e0973f9b19b","0"
50,"SP","Sperre","Sperre","Sperre",NULL,12,15,0,NULL,NULL,"873cff81-34d8-41bd-b4ec-e706f62d727e","0"
54,"WID","Widerspruch","Widerspruch","Widerspruch",NULL,12,16,0,NULL,NULL,"29429f1d-29d4-4f33-9b61-76ffc24b573b","0"
