"title_academicdegree"
"Dipl.-Ing.               "
"Dipl.-Phys.              "
"Dr,                      "
"Dr.                      "
"Dr.-Ing.                 "
"Dr.phil.                 "
"Dr. rer. nat.            "
"Dr.rer.nat.              "
"Gast-Prof. Dr.           "
"Jun.-Prof. Dr.           "
"PD Dr.                   "
"PD Dr.-Ing.habil.        "
"PD Dr. rer. nat. habil.  "
"PH.D.                    "
"Priv.-Doz. Dr.           "
"Prof.                    "
"Prof. Dr.                "
"Prof. Dr.-Ing.           "
"Prof. Dr. rer. nat.      "
"Prof.Dr.rer.nat.         "
"Prof.Dr. rer. nat. habil."
"Prof.Dr.rer.nat.habil.   "
"Staatsminister           "
"Univ.-Prof.              "
"Univ.-Prof. Dr.          "
